435.000	197.250	220.000	0.000	0.000	90.000	15.00	12.00	0.00
435.000	197.250	220.000	0.000	0.000	90.000	15.00	12.00	8.00
397.500	197.250	220.000	0.000	0.000	90.000	15.00	12.00	0.00
397.500	197.250	220.000	0.000	0.000	90.000	15.00	12.00	8.00
397.500	257.250	220.000	0.000	0.000	90.000	15.00	12.00	0.00
397.500	257.250	220.000	0.000	0.000	90.000	15.00	12.00	8.00
435.000	257.250	220.000	0.000	0.000	90.000	15.00	12.00	0.00
435.000	257.250	220.000	0.000	0.000	90.000	15.00	12.00	8.00
472.500	257.250	220.000	0.000	0.000	90.000	15.00	12.00	0.00
472.500	257.250	220.000	0.000	0.000	90.000	15.00	12.00	8.00
472.500	197.250	220.000	0.000	0.000	90.000	15.00	12.00	0.00
472.500	197.250	220.000	0.000	0.000	90.000	15.00	12.00	8.00
472.500	137.250	220.000	0.000	0.000	90.000	15.00	12.00	0.00
472.500	137.250	220.000	0.000	0.000	90.000	15.00	12.00	8.00
435.000	137.250	220.000	0.000	0.000	90.000	15.00	12.00	0.00
435.000	137.250	220.000	0.000	0.000	90.000	15.00	12.00	8.00
416.810	-2.697	210.116	0.688	1.547	84.397	15.00	12.00	0.00
416.810	-2.697	210.116	0.688	1.547	84.397	15.00	12.00	6.00
471.082	112.146	233.859	9.282	-22.976	90.069	15.00	12.00	0.00
471.082	112.146	233.859	9.282	-22.976	90.069	15.00	12.00	6.00
378.315	116.149	235.501	22.632	-14.439	107.200	15.00	12.00	0.00
378.315	116.149	235.501	22.632	-14.439	107.200	15.00	12.00	6.00
355.364	189.069	281.396	39.649	-15.298	79.183	15.00	12.00	0.00
355.364	189.069	281.396	39.649	-15.298	79.183	15.00	12.00	6.00
492.786	161.187	262.000	15.470	-32.716	81.245	15.00	12.00	0.00
492.786	161.187	262.000	15.470	-32.716	81.245	15.00	12.00	6.00
441.707	141.229	243.338	21.314	-18.048	65.776	15.00	12.00	0.00
441.707	141.229	243.338	21.314	-18.048	65.776	15.00	12.00	6.00
481.588	258.153	349.571	45.837	-34.377	45.000	15.00	12.00	0.00
481.588	258.153	349.571	45.837	-34.377	45.000	15.00	12.00	6.00
506.753	102.076	237.944	11.803	-21.772	45.000	15.00	12.00	0.00
506.753	102.076	237.944	11.803	-21.772	45.000	15.00	12.00	6.00
381.426	11.633	213.194	6.000	6.000	60.000	15.00	12.00	0.00
381.426	11.633	213.194	6.000	6.000	60.000	15.00	12.00	6.00
470.707	-32.405	214.943	-8.766	-5.500	45.000	15.00	12.00	0.00
470.707	-32.405	214.943	-8.766	-5.500	45.000	15.00	12.00	6.00
569.184	-41.753	247.391	-24.179	-17.819	73.339	15.00	12.00	0.00
569.184	-41.753	247.391	-24.179	-17.819	73.339	15.00	12.00	6.00
541.908	13.758	232.438	-14.439	-18.965	86.860	15.00	12.00	0.00
541.908	13.758	232.438	-14.439	-18.965	86.860	15.00	12.00	6.00
419.177	-18.260	210.574	-2.349	2.750	63.598	15.00	12.00	0.00
419.177	-18.260	210.574	-2.349	2.750	63.598	15.00	12.00	6.00
481.167	-144.644	250.137	-30.000	5.000	60.000	15.00	12.00	0.00
481.167	-144.644	250.137	-30.000	5.000	60.000	15.00	12.00	6.00
484.457	-177.205	270.263	-36.497	10.084	65.661	15.00	12.00	0.00
484.457	-177.205	270.263	-36.497	10.084	65.661	15.00	12.00	6.00
385.504	-249.416	333.450	-38.560	40.222	68.927	15.00	12.00	0.00
385.504	-249.416	333.450	-38.560	40.222	68.927	15.00	12.00	6.00
336.303	-233.102	329.510	-37.242	37.242	45.000	15.00	12.00	0.00
336.303	-233.102	329.510	-37.242	37.242	45.000	15.00	12.00	6.00
298.387	-231.980	349.571	-34.377	45.837	45.000	15.00	12.00	0.00
298.387	-231.980	349.571	-34.377	45.837	45.000	15.00	12.00	6.00
209.862	-141.389	339.935	-8.594	54.431	45.000	15.00	12.00	0.00
209.862	-141.389	339.935	-8.594	54.431	45.000	15.00	12.00	6.00
293.345	-161.745	287.295	-19.194	37.128	45.000	15.00	12.00	0.00
293.345	-161.745	287.295	-19.194	37.128	45.000	15.00	12.00	6.00
315.396	-122.160	255.293	-6.131	32.544	72.938	15.00	12.00	0.00
315.396	-122.160	255.293	-6.131	32.544	72.938	15.00	12.00	6.00
329.693	-144.293	260.749	-8.021	35.122	84.798	15.00	12.00	0.00
329.693	-144.293	260.749	-8.021	35.122	84.798	15.00	12.00	6.00
435.193	-220.872	298.674	-34.435	34.893	90.871	15.00	12.00	0.00
435.193	-220.872	298.674	-34.435	34.893	90.871	15.00	12.00	6.00
534.848	-138.013	263.006	-37.471	13.350	112.414	15.00	12.00	0.00
534.848	-138.013	263.006	-37.471	13.350	112.414	15.00	12.00	6.00
435.000	227.250	220.000	0.000	0.000	90.000	15.00	12.00	0.00
435.000	227.250	220.000	0.000	0.000	90.000	15.00	12.00	6.00
453.500	167.250	220.000	0.000	0.000	90.000	15.00	12.00	0.00
453.500	167.250	220.000	0.000	0.000	90.000	15.00	12.00	6.00
416.500	217.250	220.000	0.000	0.000	90.000	15.00	12.00	0.00
416.500	217.250	220.000	0.000	0.000	90.000	15.00	12.00	6.00
435.000	197.250	220.000	5.000	5.000	85.000	15.00	12.00	0.00
435.000	197.250	220.000	5.000	5.000	85.000	15.00	12.00	6.00
452.500	232.250	220.000	-6.000	4.000	95.000	15.00	12.00	0.00
452.500	232.250	220.000	-6.000	4.000	95.000	15.00	12.00	6.00
417.500	167.250	220.000	4.000	-6.000	88.000	15.00	12.00	0.00
417.500	167.250	220.000	4.000	-6.000	88.000	15.00	12.00	6.00
324.000	434.000	220.000	0.000	0.000	90.000	15.00	12.00	0.00
324.000	434.000	220.000	0.000	0.000	90.000	15.00	12.00	6.00
481.000	269.000	220.000	0.000	0.000	90.000	15.00	12.00	0.00
481.000	269.000	220.000	0.000	0.000	90.000	15.00	12.00	6.00
568.000	355.000	220.000	0.000	0.000	90.000	15.00	12.00	0.00
568.000	355.000	220.000	0.000	0.000	90.000	15.00	12.00	6.00
407.000	520.000	220.000	0.000	0.000	90.000	15.00	12.00	0.00
407.000	520.000	220.000	0.000	0.000	90.000	15.00	12.00	6.00
445.000	394.500	220.000	0.000	0.000	90.000	15.00	12.00	0.00
445.000	394.500	220.000	0.000	0.000	90.000	15.00	12.00	6.00
402.500	351.500	220.000	0.000	0.000	90.000	15.00	12.00	0.00
402.500	351.500	220.000	0.000	0.000	90.000	15.00	12.00	6.00
524.500	312.000	220.000	0.000	0.000	90.000	15.00	12.00	0.00
524.500	312.000	220.000	0.000	0.000	90.000	15.00	12.00	6.00
487.500	437.500	220.000	0.000	0.000	90.000	15.00	12.00	0.00
487.500	437.500	220.000	0.000	0.000	90.000	15.00	12.00	6.00
365.500	477.000	220.000	0.000	0.000	90.000	15.00	12.00	0.00
365.500	477.000	220.000	0.000	0.000	90.000	15.00	12.00	6.00
